"District","County Number","County Name"," License Type Code"," License Number","Business (DBA-Does Business As) Name","Location Address","Location City"," Location Zip Code","Inspection Number","Visit Number","Inspection Class","Inspection Type","Inspection Disposition","Inspection Date","Number of Critical Violations","Number of Noncritical Violations"," Number of Total Violations","Number of High Priority Violations","Number of Intermediate Violations","Number of Basic Violations","PDA Status","Violation 01","Violation 02","Violation 03","Violation 04","Violation 05","Violation 06","Violation 07","Violation 08","Violation 09","Violation 10","Violation 11","Violation 12","Violation 13","Violation 14","Violation 15","Violation 16","Violation 17","Violation 18","Violation 19","Violation 20","Violation 21","Violation 22","Violation 23","Violation 24","Violation 25","Violation 26","Violation 27","Violation 28","Violation 29","Violation 30","Violation 31","Violation 32","Violation 33","Violation 34","Violation 35","Violation 36","Violation 37","Violation 38","Violation 39","Violation 40","Violation 41","Violation 42","Violation 43","Violation 44","Violation 45","Violation 46","Violation 47","Violation 48","Violation 49","Violation 50","Violation 51","Violation 52","Violation 53","Violation 54","Violation 55","Violation 56","Violation 57","Violation 58","License ID","Inspection Visit ID"
"D3","19","Citrus","2010","1901189","SUSHI HOUSE","109 COURTHOUSE SQ","INVERNESS","34450","3678067","2","Food","Routine - Food","Call Back - Complied","07/27/2026","","","6","1","3","2","Y","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7110689","13692595"
"D3","19","Citrus","2010","1901205","AUGGIES CAFE","3158 W PINE RIDGE BLVD","BEVERLY HILLS","34465","3697531","2","Food","Food-Licensing Inspection","Call Back - Admin. complaint recommended","07/16/2026","","","3","2","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","9680319","13694169"
"D3","19","Citrus","2010","1901249","VINTAGE ON 5TH","114 NE 5 ST","CRYSTAL RIVER","34429","3691642","2","Food","Routine - Food","Call Back - Complied","07/01/2026","","","1","0","1","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7057693","13716970"
"D3","19","Citrus","2010","1901354","DUNKIN' DONUTS","715 W MAIN ST","INVERNESS","34450","3710368","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","2","0","1","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6414609","13748861"
"D3","19","Citrus","2010","1901369","PHO 84","374  N SUNCOAST BLVD","CRYSTAL RIVER","34429","3719208","1","Food","Routine - Food","Inspection Completed - No Further Action","07/08/2026","","","2","0","0","2","Y","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9107742","13757701"
"D3","19","Citrus","2010","1901374","HUDDLE HOUSE INC","321 US HWY 41 S","INVERNESS","34450","3732715","1","Food","Routine - Food","Warning Issued","07/22/2026","","","13","3","2","8","Y","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","9513697","13771208"
"D3","19","Citrus","2010","1901375","MARGUERITA GRILL","10200 W HALLS RIVER RD","HOMOSASSA","34448","3756142","1","Food","Complaint Full","Inspection Completed - No Further Action","07/16/2026","","","5","1","1","3","Y","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6745556","13844184"
"D3","19","Citrus","2010","1901384","WENDY'S 11653","2900 W NORVELL BRYANT HWY","LECANTO","34461","3717965","1","Food","Routine - Food","Inspection Completed - No Further Action","07/31/2026","","","6","2","0","4","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8359769","13756458"
"D3","19","Citrus","2010","1901399","SUBS PIZZA AND MORE","3451 E LOUISE LN STE 116","HERNANDO","34442","3693974","2","Food","Routine - Food","Call Back - Complied","07/08/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9908601","13688461"
"D3","19","Citrus","2010","1901408","CONEY ISLAND DRIVE INN","674 NE 5 ST","CRYSTAL RIVER","34429","3705630","1","Food","Routine - Food","Inspection Completed - No Further Action","07/20/2026","","","7","1","3","3","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7594680","13744112"
